context,questions,answers
Three years passed since King Viserys 's marriage Alicent Hightower time Queen Alicent given birth son Prince Aegon .,When did Three years happen?,Three years was a DATE that Three years passed since King Viserys 's marriage Alicent Hightower time Queen Alicent given birth son Prince Aegon .
Three years passed since King Viserys 's marriage Alicent Hightower time Queen Alicent given birth son Prince Aegon .,Who is Viserys?,Viserys was a PERSON who Three years passed since King Viserys 's marriage Alicent Hightower time Queen Alicent given birth son Prince Aegon .
Three years passed since King Viserys 's marriage Alicent Hightower time Queen Alicent given birth son Prince Aegon .,Who is Alicent Hightower?,Alicent Hightower was a PERSON who Three years passed since King Viserys 's marriage Alicent Hightower time Queen Alicent given birth son Prince Aegon .
Three years passed since King Viserys 's marriage Alicent Hightower time Queen Alicent given birth son Prince Aegon .,Who is Queen Alicent?,Queen Alicent was a PERSON who Three years passed since King Viserys 's marriage Alicent Hightower time Queen Alicent given birth son Prince Aegon .
Three years passed since King Viserys 's marriage Alicent Hightower time Queen Alicent given birth son Prince Aegon .,Where is Aegon?,Aegon is a GPE that Three years passed since King Viserys 's marriage Alicent Hightower time Queen Alicent given birth son Prince Aegon .
The royal court preparing depart grand hunt Kingswood Viserys excited leave politics court behind even new Master Ships Ser Tyland Lannister badgers prospect Prince Daemon Lord Corlys defeated Stepstones .,Who is Kingswood Viserys?,Kingswood Viserys was a PERSON who The royal court preparing depart grand hunt Kingswood Viserys excited leave politics court behind even new Master Ships Ser Tyland Lannister badgers prospect
The royal court preparing depart grand hunt Kingswood Viserys excited leave politics court behind even new Master Ships Ser Tyland Lannister badgers prospect Prince Daemon Lord Corlys defeated Stepstones .,Who is Corlys?,Corlys was a PERSON who Prince Daemon Lord Corlys defeated Stepstones .
The royal court preparing depart grand hunt Kingswood Viserys excited leave politics court behind even new Master Ships Ser Tyland Lannister badgers prospect Prince Daemon Lord Corlys defeated Stepstones .,Who is Stepstones?,Stepstones was a PERSON who Prince Daemon Lord Corlys defeated Stepstones .
Ser Otto Hightower dismisses Tyland 's concerns insisting Daemon Corlys 's military campaign commenced without king 's blessing send aid would make Crown look weak Viserys concerned notable absence daughter .,Who is Ser Otto Hightower?,Ser Otto Hightower was a PERSON who Ser Otto Hightower dismisses Tyland 's concerns insisting Daemon Corlys 's military campaign commenced without king 's blessing send aid would make Crown look weak Viserys concerned notable absence daughter .
Ser Otto Hightower dismisses Tyland 's concerns insisting Daemon Corlys 's military campaign commenced without king 's blessing send aid would make Crown look weak Viserys concerned notable absence daughter .,What is Tyland?,Tyland is a ORG that Ser Otto Hightower dismisses Tyland 's concerns insisting Daemon Corlys 's military campaign commenced without king 's blessing send aid would make Crown look weak Viserys concerned notable absence daughter .
