context,questions,answers
Criston member House Cole minor House Dornish Marches service House Dondarrion .,What is Criston?,Criston is a ORG that Criston member House Cole minor House Dornish Marches service House Dondarrion .
Criston member House Cole minor House Dornish Marches service House Dondarrion .,What is House?,House is a ORG that Criston member House Cole minor House Dornish Marches service House Dondarrion .
Criston member House Cole minor House Dornish Marches service House Dondarrion .,What is House?,House is a ORG that Criston member House Cole minor House Dornish Marches service House Dondarrion .
Criston member House Cole minor House Dornish Marches service House Dondarrion .,What is House Dondarrion?,House Dondarrion is a ORG that Criston member House Cole minor House Dornish Marches service House Dondarrion .
His father steward Blackhaven .,Who is Blackhaven?,Blackhaven was a PERSON who His father steward Blackhaven .
Criston Dornish descent.House Dragon | Official Website HBO Series | HBO.comCriston fought year footsoldier border conflicts Dorne .,Who is Criston Dornish?,Criston Dornish was a PERSON who Criston Dornish descent.
Criston Dornish descent.House Dragon | Official Website HBO Series | HBO.comCriston fought year footsoldier border conflicts Dorne .,What is House?,House is a ORG that House Dragon | Official Website HBO Series | HBO.comCriston fought year footsoldier border conflicts Dorne .
Criston Dornish descent.House Dragon | Official Website HBO Series | HBO.comCriston fought year footsoldier border conflicts Dorne .,When did year happen?,year was a DATE that House Dragon | Official Website HBO Series | HBO.comCriston fought year footsoldier border conflicts Dorne .
Criston Dornish descent.House Dragon | Official Website HBO Series | HBO.comCriston fought year footsoldier border conflicts Dorne .,Who is Dorne?,Dorne was a PERSON who House Dragon | Official Website HBO Series | HBO.comCriston fought year footsoldier border conflicts Dorne .
After taking part razing two watchtowers along Boneway knighted Ser Arlan Dondarrion .,What is Boneway?,Boneway is a ORG that After taking part razing two watchtowers along Boneway knighted Ser Arlan Dondarrion .
After taking part razing two watchtowers along Boneway knighted Ser Arlan Dondarrion .,Who is Ser Arlan Dondarrion?,Ser Arlan Dondarrion was a PERSON who After taking part razing two watchtowers along Boneway knighted Ser Arlan Dondarrion .
In first joust defeats knight House Tarly .,What is House?,House is a ORG that In first joust defeats knight House Tarly .
He defeats Lord Boremund another Baratheon .,What is Baratheon?,Baratheon is a ORG that He defeats Lord Boremund another Baratheon .
Criston next faces Prince Daemon Targaryen several evenly matched tilts Daemon unhorsed Daemon demanding contest arms foot .,Who is Daemon?,Daemon was a PERSON who Criston next faces Prince Daemon Targaryen several evenly matched tilts Daemon unhorsed Daemon demanding contest arms foot .
Criston next faces Prince Daemon Targaryen several evenly matched tilts Daemon unhorsed Daemon demanding contest arms foot .,What is Daemon?,Daemon is a ORG that Criston next faces Prince Daemon Targaryen several evenly matched tilts Daemon unhorsed Daemon demanding contest arms foot .
Criston readies flail prince draws sword Dark Sister .,Who is Dark Sister?,Dark Sister was a PERSON who Criston readies flail prince draws sword Dark Sister .
In fierce combat Criston breaks apart Daemon 's shield Daemon swinging breastplate return .,What is Daemon?,Daemon is a ORG that In fierce combat Criston breaks apart Daemon 's shield Daemon swinging breastplate return .
With prince eventually kicking Criston ground Daemon gloats Criston rises feet knocks ground forces prince yield .,Who is Daemon?,Daemon was a PERSON who With prince eventually kicking Criston ground Daemon gloats Criston rises feet knocks ground forces prince yield .
After victory Criston asks favor Princess Rhaenyra Targaryen obliges throwing laurel wreath wishes luck.Six months tourney Ser Criston named Kingsguard insistence Princess Rhaenyra candidate real combat experience .,Who is Criston?,Criston was a PERSON who After victory Criston asks favor Princess Rhaenyra Targaryen obliges throwing laurel wreath wishes luck.
After victory Criston asks favor Princess Rhaenyra Targaryen obliges throwing laurel wreath wishes luck.Six months tourney Ser Criston named Kingsguard insistence Princess Rhaenyra candidate real combat experience .,When did Six months happen?,Six months was a DATE that Six months tourney Ser Criston named Kingsguard insistence Princess Rhaenyra candidate real combat experience .
After victory Criston asks favor Princess Rhaenyra Targaryen obliges throwing laurel wreath wishes luck.Six months tourney Ser Criston named Kingsguard insistence Princess Rhaenyra candidate real combat experience .,What is Ser Criston?,Ser Criston is a ORG that Six months tourney Ser Criston named Kingsguard insistence Princess Rhaenyra candidate real combat experience .
After victory Criston asks favor Princess Rhaenyra Targaryen obliges throwing laurel wreath wishes luck.Six months tourney Ser Criston named Kingsguard insistence Princess Rhaenyra candidate real combat experience .,What is Kingsguard?,Kingsguard is a ORG that Six months tourney Ser Criston named Kingsguard insistence Princess Rhaenyra candidate real combat experience .
He later travels Dragonstone detachment men led Ser Otto Hightower Hand King force Prince Daemon give occupation castle .,What is Dragonstone?,Dragonstone is a ORG that He later travels Dragonstone detachment men led Ser Otto Hightower Hand King force Prince Daemon give occupation castle .
He later travels Dragonstone detachment men led Ser Otto Hightower Hand King force Prince Daemon give occupation castle .,What is Ser Otto Hightower Hand?,Ser Otto Hightower Hand is a ORG that He later travels Dragonstone detachment men led Ser Otto Hightower Hand King force Prince Daemon give occupation castle .
He later travels Dragonstone detachment men led Ser Otto Hightower Hand King force Prince Daemon give occupation castle .,Who is Prince Daemon?,Prince Daemon was a PERSON who He later travels Dragonstone detachment men led Ser Otto Hightower Hand King force Prince Daemon give occupation castle .
When Daemon `` accidentally '' calls `` Ser Crispin '' Criston retorts reminding Daemon defeated Heir 's Tournament .,Who is Daemon?,Daemon was a PERSON who When Daemon `` accidentally '' calls `` Ser Crispin '' Criston retorts reminding Daemon defeated Heir 's Tournament .
The situations escalates sides draw swords Princess Rhaenyra arrives manages convince Daemon return dragon egg without bloodshed.Three years later King Viserys organizes royal hunt Kingswood honor son Aegon 's second nameday .,What is Daemon?,Daemon is a ORG that The situations escalates sides draw swords Princess Rhaenyra arrives manages convince Daemon return dragon egg without bloodshed.
The situations escalates sides draw swords Princess Rhaenyra arrives manages convince Daemon return dragon egg without bloodshed.Three years later King Viserys organizes royal hunt Kingswood honor son Aegon 's second nameday .,When did Three years later happen?,Three years later was a DATE that Three years later King Viserys organizes royal hunt Kingswood honor son Aegon 's second nameday .
The situations escalates sides draw swords Princess Rhaenyra arrives manages convince Daemon return dragon egg without bloodshed.Three years later King Viserys organizes royal hunt Kingswood honor son Aegon 's second nameday .,Where is King Viserys?,King Viserys is a GPE that Three years later King Viserys organizes royal hunt Kingswood honor son Aegon 's second nameday .
