context,questions,answers
Otto younger brother Lord Hobert Hightower father Gwayne Alicent Hightower .,Who is Otto?,Otto was a PERSON who Otto younger brother Lord Hobert Hightower father Gwayne Alicent Hightower .
Otto younger brother Lord Hobert Hightower father Gwayne Alicent Hightower .,Who is Hobert Hightower?,Hobert Hightower was a PERSON who Otto younger brother Lord Hobert Hightower father Gwayne Alicent Hightower .
Otto younger brother Lord Hobert Hightower father Gwayne Alicent Hightower .,Who is Gwayne Alicent Hightower?,Gwayne Alicent Hightower was a PERSON who Otto younger brother Lord Hobert Hightower father Gwayne Alicent Hightower .
He Hand King Viserys I Targaryen considers king 's brother heir Prince Daemon Targaryen greatest threat realm.House Dragon | Official Website HBO Series | HBO.comSer Otto named Hand King King Jaehaerys I Targaryen 101 AC following death Prince Baelon Targaryen .,Who is Prince Daemon Targaryen?,Prince Daemon Targaryen was a PERSON who He Hand King Viserys I Targaryen considers king 's brother heir Prince Daemon Targaryen greatest threat realm.
He Hand King Viserys I Targaryen considers king 's brother heir Prince Daemon Targaryen greatest threat realm.House Dragon | Official Website HBO Series | HBO.comSer Otto named Hand King King Jaehaerys I Targaryen 101 AC following death Prince Baelon Targaryen .,Who is Otto?,Otto was a PERSON who House Dragon | Official Website HBO Series | HBO.comSer Otto named Hand King King Jaehaerys
Nine years reign King Viserys Otto attends meeting Small Council .,When did Nine years happen?,Nine years was a DATE that Nine years reign King Viserys Otto attends meeting Small Council .
Nine years reign King Viserys Otto attends meeting Small Council .,Who is Viserys Otto?,Viserys Otto was a PERSON who Nine years reign King Viserys Otto attends meeting Small Council .
Nine years reign King Viserys Otto attends meeting Small Council .,What is Small Council?,Small Council is a ORG that Nine years reign King Viserys Otto attends meeting Small Council .
Lord Corlys Velaryon informs council alliance Free Cities known `` Triarchy '' trying claim Stepstones .,Who is Corlys Velaryon?,Corlys Velaryon was a PERSON who Lord Corlys Velaryon informs council alliance Free Cities known `` Triarchy '' trying claim Stepstones .
Lord Corlys Velaryon informs council alliance Free Cities known `` Triarchy '' trying claim Stepstones .,What is Free Cities?,Free Cities is a ORG that Lord Corlys Velaryon informs council alliance Free Cities known `` Triarchy '' trying claim Stepstones .
Lord Corlys Velaryon informs council alliance Free Cities known `` Triarchy '' trying claim Stepstones .,What is Stepstones?,Stepstones is a ORG that Lord Corlys Velaryon informs council alliance Free Cities known `` Triarchy '' trying claim Stepstones .
The Sea Snake warns Westerosi ports could negatively affected concerns dismissed Otto king .,Who is Otto king?,Otto king was a PERSON who The Sea Snake warns Westerosi ports could negatively affected concerns dismissed Otto king .
Otto swiftly turns discussion joyous topic upcoming Heir 's Tournament king planned approaching birth next child hopeful son .,Who is Otto?,Otto was a PERSON who Otto swiftly turns discussion joyous topic upcoming Heir 's Tournament king planned approaching birth next child hopeful son .
Later night Otto present Grand Maester Mellos Maester Mickon attending infected wound king 's back .,Who is Otto?,Otto was a PERSON who Later night Otto present Grand Maester Mellos Maester Mickon attending infected wound king 's back .
Later night Otto present Grand Maester Mellos Maester Mickon attending infected wound king 's back .,Who is Mellos Maester Mickon?,Mellos Maester Mickon was a PERSON who Later night Otto present Grand Maester Mellos Maester Mickon attending infected wound king 's back .
Otto instructs Mellos keep affliction secret.That night Prince Daemon leads City Watch hunting criminals King 's Landing rounding en masse face summary justice .,Who is Otto?,Otto was a PERSON who Otto instructs Mellos keep affliction secret.
Otto instructs Mellos keep affliction secret.That night Prince Daemon leads City Watch hunting criminals King 's Landing rounding en masse face summary justice .,Who is Mellos?,Mellos was a PERSON who Otto instructs Mellos keep affliction secret.
Otto instructs Mellos keep affliction secret.That night Prince Daemon leads City Watch hunting criminals King 's Landing rounding en masse face summary justice .,What is City Watch?,City Watch is a ORG that That night Prince Daemon leads City Watch hunting criminals King 's Landing rounding en masse face summary justice .
At Small Council meeting following morning Otto protests public measures excessive allowed act impunity .,What is Small Council?,Small Council is a ORG that At Small Council meeting following morning Otto protests public measures excessive allowed act impunity .
Otto demands Daemon account actions ; Daemon defends stating followed king 's laws Westeros 's nobility coming king 's tourney justified action ensure safety .,What is Daemon?,Daemon is a ORG that Otto demands Daemon account actions ; Daemon defends stating followed king 's laws Westeros 's nobility coming king 's tourney justified action ensure safety .
Otto demands Daemon account actions ; Daemon defends stating followed king 's laws Westeros 's nobility coming king 's tourney justified action ensure safety .,What is Daemon?,Daemon is a ORG that Otto demands Daemon account actions ; Daemon defends stating followed king 's laws Westeros 's nobility coming king 's tourney justified action ensure safety .
Otto demands Daemon account actions ; Daemon defends stating followed king 's laws Westeros 's nobility coming king 's tourney justified action ensure safety .,What is Westeros?,Westeros is a ORG that Otto demands Daemon account actions ; Daemon defends stating followed king 's laws Westeros 's nobility coming king 's tourney justified action ensure safety .
Otto says Daemon put much effort marriage work gold cloaks Daemon n't seen wife Rhea Royce Runestone even Vale Arryn long time .,Who is Otto?,Otto was a PERSON who Otto says Daemon put much effort marriage work gold cloaks Daemon n't seen wife Rhea Royce Runestone even Vale Arryn long time .
Otto says Daemon put much effort marriage work gold cloaks Daemon n't seen wife Rhea Royce Runestone even Vale Arryn long time .,Who is Daemon?,Daemon was a PERSON who Otto says Daemon put much effort marriage work gold cloaks Daemon n't seen wife Rhea Royce Runestone even Vale Arryn long time .
Otto says Daemon put much effort marriage work gold cloaks Daemon n't seen wife Rhea Royce Runestone even Vale Arryn long time .,Who is Rhea Royce Runestone?,Rhea Royce Runestone was a PERSON who Otto says Daemon put much effort marriage work gold cloaks Daemon n't seen wife Rhea Royce Runestone even Vale Arryn long time .
Otto says Daemon put much effort marriage work gold cloaks Daemon n't seen wife Rhea Royce Runestone even Vale Arryn long time .,Who is Vale Arryn?,Vale Arryn was a PERSON who Otto says Daemon put much effort marriage work gold cloaks Daemon n't seen wife Rhea Royce Runestone even Vale Arryn long time .
Daemon insults wife Otto responds defend honor Daemon states would happy wife share Otto 's bed wife recently passed .,Who is Otto?,Otto was a PERSON who Daemon insults wife Otto responds defend honor Daemon states would happy wife share Otto 's bed wife recently passed .
Daemon insults wife Otto responds defend honor Daemon states would happy wife share Otto 's bed wife recently passed .,Who is Daemon?,Daemon was a PERSON who Daemon insults wife Otto responds defend honor Daemon states would happy wife share Otto 's bed wife recently passed .
Daemon insults wife Otto responds defend honor Daemon states would happy wife share Otto 's bed wife recently passed .,Who is Otto?,Otto was a PERSON who Daemon insults wife Otto responds defend honor Daemon states would happy wife share Otto 's bed wife recently passed .
Otto furiously rises feet affront Viserys defuses argument bidding Otto rejoin brother 's provocation .,Who is Otto?,Otto was a PERSON who Otto furiously rises feet affront Viserys defuses argument bidding Otto rejoin brother 's provocation .
Otto furiously rises feet affront Viserys defuses argument bidding Otto rejoin brother 's provocation .,Where is Viserys?,Viserys is a GPE that Otto furiously rises feet affront Viserys defuses argument bidding Otto rejoin brother 's provocation .
Otto furiously rises feet affront Viserys defuses argument bidding Otto rejoin brother 's provocation .,Who is Otto?,Otto was a PERSON who Otto furiously rises feet affront Viserys defuses argument bidding Otto rejoin brother 's provocation .
Otto begrudgingly complies.The following day Otto sits beside king royal box Heir 's Tournament commences .,Who is Otto?,Otto was a PERSON who The following day Otto sits beside king royal box Heir 's Tournament commences .
Otto whispers Viserys could Lord Boremund Baratheon 's tongue cut called Princess Rhaenys `` Queen Who Never Was '' king dismisses harmless .,Who is Otto whispers Viserys?,Otto whispers Viserys was a PERSON who Otto whispers Viserys could Lord Boremund Baratheon 's tongue cut called Princess Rhaenys `` Queen Who Never Was '' king dismisses harmless .
Otto whispers Viserys could Lord Boremund Baratheon 's tongue cut called Princess Rhaenys `` Queen Who Never Was '' king dismisses harmless .,Who is Boremund Baratheon?,Boremund Baratheon was a PERSON who Otto whispers Viserys could Lord Boremund Baratheon 's tongue cut called Princess Rhaenys `` Queen Who Never Was '' king dismisses harmless .
Otto provoked Daemon picks first opponent joust eldest son Ser Gwayne Hightower defeating Gwayne second tilt tripping horse .,Who is Otto?,Otto was a PERSON who Otto provoked Daemon picks first opponent joust eldest son Ser Gwayne Hightower defeating Gwayne second tilt tripping horse .
Otto provoked Daemon picks first opponent joust eldest son Ser Gwayne Hightower defeating Gwayne second tilt tripping horse .,Who is Daemon?,Daemon was a PERSON who Otto provoked Daemon picks first opponent joust eldest son Ser Gwayne Hightower defeating Gwayne second tilt tripping horse .
Otto provoked Daemon picks first opponent joust eldest son Ser Gwayne Hightower defeating Gwayne second tilt tripping horse .,Who is Ser Gwayne Hightower?,Ser Gwayne Hightower was a PERSON who Otto provoked Daemon picks first opponent joust eldest son Ser Gwayne Hightower defeating Gwayne second tilt tripping horse .
Daemon asks receives Otto 's daughter Alicent 's favor .,What is Daemon?,Daemon is a ORG that Daemon asks receives Otto 's daughter Alicent 's favor .
Daemon asks receives Otto 's daughter Alicent 's favor .,Who is Otto?,Otto was a PERSON who Daemon asks receives Otto 's daughter Alicent 's favor .
Daemon asks receives Otto 's daughter Alicent 's favor .,Who is Alicent?,Alicent was a PERSON who Daemon asks receives Otto 's daughter Alicent 's favor .
As tournament continues maester arrives informs Otto Queen Aemma 's difficult labor Otto promptly telling Viserys leaving tourney grounds .,Who is Otto Queen Aemma 's?,Otto Queen Aemma 's was a PERSON who As tournament continues maester arrives informs Otto Queen Aemma 's difficult labor Otto promptly telling Viserys leaving tourney grounds .
As tournament continues maester arrives informs Otto Queen Aemma 's difficult labor Otto promptly telling Viserys leaving tourney grounds .,Who is Otto?,Otto was a PERSON who As tournament continues maester arrives informs Otto Queen Aemma 's difficult labor Otto promptly telling Viserys leaving tourney grounds .
As tournament continues maester arrives informs Otto Queen Aemma 's difficult labor Otto promptly telling Viserys leaving tourney grounds .,Who is Viserys?,Viserys was a PERSON who As tournament continues maester arrives informs Otto Queen Aemma 's difficult labor Otto promptly telling Viserys leaving tourney grounds .
Otto later returns notify members Small Council news birth Prince Baelon Targaryen death queen.Otto attends funeral Queen Aemma Prince Baelon.At Small Council meeting Otto presses Viserys set succession firmly order stability realm .,Who is Otto?,Otto was a PERSON who Otto later returns notify members Small Council news birth Prince Baelon Targaryen death queen.
Otto later returns notify members Small Council news birth Prince Baelon Targaryen death queen.Otto attends funeral Queen Aemma Prince Baelon.At Small Council meeting Otto presses Viserys set succession firmly order stability realm .,What is Small Council?,Small Council is a ORG that Otto later returns notify members Small Council news birth Prince Baelon Targaryen death queen.
Otto later returns notify members Small Council news birth Prince Baelon Targaryen death queen.Otto attends funeral Queen Aemma Prince Baelon.At Small Council meeting Otto presses Viserys set succession firmly order stability realm .,Who is Otto?,Otto was a PERSON who Otto attends funeral Queen Aemma Prince Baelon.
Otto later returns notify members Small Council news birth Prince Baelon Targaryen death queen.Otto attends funeral Queen Aemma Prince Baelon.At Small Council meeting Otto presses Viserys set succession firmly order stability realm .,Who is Aemma Prince Baelon?,Aemma Prince Baelon was a PERSON who Otto attends funeral Queen Aemma Prince Baelon.
Otto later returns notify members Small Council news birth Prince Baelon Targaryen death queen.Otto attends funeral Queen Aemma Prince Baelon.At Small Council meeting Otto presses Viserys set succession firmly order stability realm .,What is Small Council?,Small Council is a ORG that At Small Council meeting Otto presses Viserys set succession firmly order stability realm .
Otto later returns notify members Small Council news birth Prince Baelon Targaryen death queen.Otto attends funeral Queen Aemma Prince Baelon.At Small Council meeting Otto presses Viserys set succession firmly order stability realm .,Who is Otto?,Otto was a PERSON who At Small Council meeting Otto presses Viserys set succession firmly order stability realm .
Otto later returns notify members Small Council news birth Prince Baelon Targaryen death queen.Otto attends funeral Queen Aemma Prince Baelon.At Small Council meeting Otto presses Viserys set succession firmly order stability realm .,Who is Viserys?,Viserys was a PERSON who At Small Council meeting Otto presses Viserys set succession firmly order stability realm .
With Baelon 's death Daemon Viserys 's heir presumptive Otto support Grand Maester Mellos adamant Daemon ambitious insists Daemon loyalty City Watch .,Who is Daemon Viserys 's?,Daemon Viserys 's was a PERSON who With Baelon 's death Daemon Viserys 's heir presumptive Otto support Grand Maester Mellos adamant Daemon ambitious insists Daemon loyalty City Watch .
With Baelon 's death Daemon Viserys 's heir presumptive Otto support Grand Maester Mellos adamant Daemon ambitious insists Daemon loyalty City Watch .,Who is Otto?,Otto was a PERSON who With Baelon 's death Daemon Viserys 's heir presumptive Otto support Grand Maester Mellos adamant Daemon ambitious insists Daemon loyalty City Watch .
With Baelon 's death Daemon Viserys 's heir presumptive Otto support Grand Maester Mellos adamant Daemon ambitious insists Daemon loyalty City Watch .,Who is Maester Mellos?,Maester Mellos was a PERSON who With Baelon 's death Daemon Viserys 's heir presumptive Otto support Grand Maester Mellos adamant Daemon ambitious insists Daemon loyalty City Watch .
With Baelon 's death Daemon Viserys 's heir presumptive Otto support Grand Maester Mellos adamant Daemon ambitious insists Daemon loyalty City Watch .,Who is Daemon?,Daemon was a PERSON who With Baelon 's death Daemon Viserys 's heir presumptive Otto support Grand Maester Mellos adamant Daemon ambitious insists Daemon loyalty City Watch .
With Baelon 's death Daemon Viserys 's heir presumptive Otto support Grand Maester Mellos adamant Daemon ambitious insists Daemon loyalty City Watch .,What is Daemon?,Daemon is a ORG that With Baelon 's death Daemon Viserys 's heir presumptive Otto support Grand Maester Mellos adamant Daemon ambitious insists Daemon loyalty City Watch .
With Baelon 's death Daemon Viserys 's heir presumptive Otto support Grand Maester Mellos adamant Daemon ambitious insists Daemon loyalty City Watch .,What is City Watch?,City Watch is a ORG that With Baelon 's death Daemon Viserys 's heir presumptive Otto support Grand Maester Mellos adamant Daemon ambitious insists Daemon loyalty City Watch .
Viserys responds brother may ambitious ambitions Iron Throne kingship would n't suit responds Otto 's complaints Daemon 's command City Watch effectively gives prince private army pointing Otto 's idea give Daemon command first place Otto complained Viserys named brother Master Laws tyrant Master Coin spendthrift .,Who is Viserys?,Viserys was a PERSON who Viserys responds brother may ambitious ambitions Iron Throne kingship would n't suit responds Otto 's complaints Daemon 's command City Watch effectively gives prince private army pointing Otto 's idea give Daemon command first place Otto complained Viserys named brother Master Laws tyrant Master Coin spendthrift .
