context,questions,answers
About one year royal hunt Kingswood Rhaenyra Targaryen touring realm hold audiences potential suitors hand marriage .,When did About one year happen?,About one year was a DATE that About one year royal hunt Kingswood Rhaenyra Targaryen touring realm hold audiences potential suitors hand marriage .
About one year royal hunt Kingswood Rhaenyra Targaryen touring realm hold audiences potential suitors hand marriage .,Who is Kingswood Rhaenyra?,Kingswood Rhaenyra was a PERSON who About one year royal hunt Kingswood Rhaenyra Targaryen touring realm hold audiences potential suitors hand marriage .
On recent stop Storm 's End seat House Baratheon Stormlands .,What is Storm 's End?,Storm 's End is a ORG that On recent stop Storm 's End seat House Baratheon Stormlands .
On recent stop Storm 's End seat House Baratheon Stormlands .,What is House Baratheon Stormlands?,House Baratheon Stormlands is a ORG that On recent stop Storm 's End seat House Baratheon Stormlands .
Potential suitors lined main hall introduced turn Lord Boremund Baratheon princess given honor sitting throne .,Who is Boremund Baratheon?,Boremund Baratheon was a PERSON who Potential suitors lined main hall introduced turn Lord Boremund Baratheon princess given honor sitting throne .
Rhaenyra frustrated many suitors either old young lords minor houses.After dismissing elderly Lord Dondarrion surprised see underaged Willem Blackwood put forward .,Who is Dondarrion?,Dondarrion was a PERSON who After dismissing elderly Lord Dondarrion surprised see underaged Willem Blackwood put forward .
Rhaenyra frustrated many suitors either old young lords minor houses.After dismissing elderly Lord Dondarrion surprised see underaged Willem Blackwood put forward .,Who is Willem Blackwood?,Willem Blackwood was a PERSON who After dismissing elderly Lord Dondarrion surprised see underaged Willem Blackwood put forward .
Though well-spoken Lord Boremund points Blackwoods reasonably powerful noble house Riverlands Rhaenyra take proposal seriously .,What is Blackwoods?,Blackwoods is a ORG that Though well-spoken Lord Boremund points Blackwoods reasonably powerful noble house Riverlands Rhaenyra take proposal seriously .
Blackwood repeatedly interrupted mockery Jerrel Bracken House Blackwood House Bracken bitterly feuding centuries.Bored Rhaenyra asks hear next suitor line finish go supper .,Who is Blackwood?,Blackwood was a PERSON who Blackwood repeatedly interrupted mockery Jerrel Bracken House Blackwood House Bracken bitterly feuding centuries.
Blackwood repeatedly interrupted mockery Jerrel Bracken House Blackwood House Bracken bitterly feuding centuries.Bored Rhaenyra asks hear next suitor line finish go supper .,What is Jerrel Bracken House?,Jerrel Bracken House is a ORG that Blackwood repeatedly interrupted mockery Jerrel Bracken House Blackwood House Bracken bitterly feuding centuries.
Blackwood repeatedly interrupted mockery Jerrel Bracken House Blackwood House Bracken bitterly feuding centuries.Bored Rhaenyra asks hear next suitor line finish go supper .,What is Blackwood House?,Blackwood House is a ORG that Blackwood repeatedly interrupted mockery Jerrel Bracken House Blackwood House Bracken bitterly feuding centuries.
Blackwood repeatedly interrupted mockery Jerrel Bracken House Blackwood House Bracken bitterly feuding centuries.Bored Rhaenyra asks hear next suitor line finish go supper .,Who is Bracken?,Bracken was a PERSON who Blackwood repeatedly interrupted mockery Jerrel Bracken House Blackwood House Bracken bitterly feuding centuries.
Dejected Blackwood turns leave goes Jerrel Bracken calls craven .,Who is Blackwood?,Blackwood was a PERSON who Dejected Blackwood turns leave goes Jerrel Bracken calls craven .
Dejected Blackwood turns leave goes Jerrel Bracken calls craven .,Who is Jerrel Bracken?,Jerrel Bracken was a PERSON who Dejected Blackwood turns leave goes Jerrel Bracken calls craven .
Fed continued insults Blackwood draws sword approaches Jerrel eagerly draws dagger advances meet .,What is Fed?,Fed is a ORG that Fed continued insults Blackwood draws sword approaches Jerrel eagerly draws dagger advances meet .
Fed continued insults Blackwood draws sword approaches Jerrel eagerly draws dagger advances meet .,Who is Blackwood?,Blackwood was a PERSON who Fed continued insults Blackwood draws sword approaches Jerrel eagerly draws dagger advances meet .
Rhaenyra tells sworn shield Ser Criston Cole leave .,Who is Ser Criston Cole?,Ser Criston Cole was a PERSON who Rhaenyra tells sworn shield Ser Criston Cole leave .
Rhaenyra orders Criston send word ship prepared sail back King 's Landing even though tour suitors supposed continue Bitterbridge .,Who is Criston?,Criston was a PERSON who Rhaenyra orders Criston send word ship prepared sail back King 's Landing even though tour suitors supposed continue Bitterbridge .
Rhaenyra orders Criston send word ship prepared sail back King 's Landing even though tour suitors supposed continue Bitterbridge .,What is the King 's Landing?,The King 's Landing is a FAC that Rhaenyra orders Criston send word ship prepared sail back King 's Landing even though tour suitors supposed continue Bitterbridge .
Rhaenyra orders Criston send word ship prepared sail back King 's Landing even though tour suitors supposed continue Bitterbridge .,What is Bitterbridge?,Bitterbridge is a ORG that Rhaenyra orders Criston send word ship prepared sail back King 's Landing even though tour suitors supposed continue Bitterbridge .
Just Rhaenyra Criston reach hall 's doors hear yell turn around see Blackwood managed run Jerrel sword : mortally wounded boy lays ground choking blood father Lord Humfrey Bracken rushes side .,What is Just Rhaenyra Criston?,Just Rhaenyra Criston is a ORG that Just Rhaenyra Criston reach hall 's doors hear yell turn around see Blackwood managed run Jerrel sword : mortally wounded boy lays ground choking blood father Lord Humfrey Bracken rushes side .
Just Rhaenyra Criston reach hall 's doors hear yell turn around see Blackwood managed run Jerrel sword : mortally wounded boy lays ground choking blood father Lord Humfrey Bracken rushes side .,Who is Blackwood?,Blackwood was a PERSON who Just Rhaenyra Criston reach hall 's doors hear yell turn around see Blackwood managed run Jerrel sword : mortally wounded boy lays ground choking blood father Lord Humfrey Bracken rushes side .
Just Rhaenyra Criston reach hall 's doors hear yell turn around see Blackwood managed run Jerrel sword : mortally wounded boy lays ground choking blood father Lord Humfrey Bracken rushes side .,Who is Humfrey Bracken?,Humfrey Bracken was a PERSON who Just Rhaenyra Criston reach hall 's doors hear yell turn around see Blackwood managed run Jerrel sword : mortally wounded boy lays ground choking blood father Lord Humfrey Bracken rushes side .
Willem Blackwood stunned happened begins vomit .,Who is Willem Blackwood?,Willem Blackwood was a PERSON who Willem Blackwood stunned happened begins vomit .
