context,questions,answers
Ten years Rhaenyra Targaryen 's wedding Laenor Velaryon gives birth third son .,When did Ten years happen?,Ten years was a DATE that Ten years Rhaenyra Targaryen 's wedding Laenor Velaryon gives birth third son .
Ten years Rhaenyra Targaryen 's wedding Laenor Velaryon gives birth third son .,Who is Laenor Velaryon?,Laenor Velaryon was a PERSON who Ten years Rhaenyra Targaryen 's wedding Laenor Velaryon gives birth third son .
Just baby delivered handmaid brings message Queen Alicent Hightower commanded brought `` immediately '' .,Who is Queen Alicent Hightower?,Queen Alicent Hightower was a PERSON who Just baby delivered handmaid brings message Queen Alicent Hightower commanded brought `` immediately '' .
Determined let Alicent shame Rhaenyra rises commands handmaids dress even though 's another minute expels afterbirth .,Who is Alicent?,Alicent was a PERSON who Determined let Alicent shame Rhaenyra rises commands handmaids dress even though 's another minute expels afterbirth .
Laenor enthusiastically enters find exhausted Rhaenyra insisting walk across entire castle personally holding baby show queen .,Who is Laenor?,Laenor was a PERSON who Laenor enthusiastically enters find exhausted Rhaenyra insisting walk across entire castle personally holding baby show queen .
After arduously making way across Red Keep flight stairs still experiencing post-birth muscle spasms Rhaenyra reaches Alicent 's private chambers .,What is Red Keep?,Red Keep is a ORG that After arduously making way across Red Keep flight stairs still experiencing post-birth muscle spasms Rhaenyra reaches Alicent 's private chambers .
After arduously making way across Red Keep flight stairs still experiencing post-birth muscle spasms Rhaenyra reaches Alicent 's private chambers .,Who is Alicent?,Alicent was a PERSON who After arduously making way across Red Keep flight stairs still experiencing post-birth muscle spasms Rhaenyra reaches Alicent 's private chambers .
Rhaenyra Laenor give cold silent glances Criston Cole stands guard outside door .,Who is Rhaenyra Laenor?,Rhaenyra Laenor was a PERSON who Rhaenyra Laenor give cold silent glances Criston Cole stands guard outside door .
Rhaenyra Laenor give cold silent glances Criston Cole stands guard outside door .,Who is Criston Cole?,Criston Cole was a PERSON who Rhaenyra Laenor give cold silent glances Criston Cole stands guard outside door .
With false politeness Alicent expresses concern Rhaenyra n't walking condition .,Who is Alicent?,Alicent was a PERSON who With false politeness Alicent expresses concern Rhaenyra n't walking condition .
Rhaenyra 's father King Viserys arrives proudly view new grandchild saying make fearsome knight .,What is Rhaenyra?,Rhaenyra is a ORG that Rhaenyra 's father King Viserys arrives proudly view new grandchild saying make fearsome knight .
Rhaenyra 's father King Viserys arrives proudly view new grandchild saying make fearsome knight .,Who is King Viserys?,King Viserys was a PERSON who Rhaenyra 's father King Viserys arrives proudly view new grandchild saying make fearsome knight .
Viserys relatively good spirits decline stopped past decade slowed : infection eating away hand continued spread losing several fingers left arm amputated elbow .,When did past decade happen?,past decade was a DATE that Viserys relatively good spirits decline stopped past decade slowed : infection eating away hand continued spread losing several fingers left arm amputated elbow .
When Alicent asks intend name baby Laenor interjects ahead Rhaenyra named `` Joffrey '' ( clearly named lost lover Joffrey Lonmouth killed wedding ) .,Who is Alicent?,Alicent was a PERSON who When Alicent asks intend name baby Laenor interjects ahead Rhaenyra named `` Joffrey '' ( clearly named lost lover Joffrey Lonmouth killed wedding ) .
When Alicent asks intend name baby Laenor interjects ahead Rhaenyra named `` Joffrey '' ( clearly named lost lover Joffrey Lonmouth killed wedding ) .,Who is Laenor?,Laenor was a PERSON who When Alicent asks intend name baby Laenor interjects ahead Rhaenyra named `` Joffrey '' ( clearly named lost lover Joffrey Lonmouth killed wedding ) .
When Alicent asks intend name baby Laenor interjects ahead Rhaenyra named `` Joffrey '' ( clearly named lost lover Joffrey Lonmouth killed wedding ) .,Who is Joffrey Lonmouth?,Joffrey Lonmouth was a PERSON who When Alicent asks intend name baby Laenor interjects ahead Rhaenyra named `` Joffrey '' ( clearly named lost lover Joffrey Lonmouth killed wedding ) .
Viserys insists father 's nose resulting awkward glances rest .,Who is Viserys?,Viserys was a PERSON who Viserys insists father 's nose resulting awkward glances rest .
