context,questions,answers
Prince Daemon Targaryen confronts estranged wife Lady Rhea Royce hunting alone near family 's castle Runestone .,Who is Rhea Royce?,Rhea Royce was a PERSON who Prince Daemon Targaryen confronts estranged wife Lady Rhea Royce hunting alone near family 's castle Runestone .
Rhea mockingly asks Daemon come consummate marriage brother finally expelled court disinheriting Daemon favor girl .,Who is Rhea?,Rhea was a PERSON who Rhea mockingly asks Daemon come consummate marriage brother finally expelled court disinheriting Daemon favor girl .
Rhea mockingly asks Daemon come consummate marriage brother finally expelled court disinheriting Daemon favor girl .,Who is Daemon?,Daemon was a PERSON who Rhea mockingly asks Daemon come consummate marriage brother finally expelled court disinheriting Daemon favor girl .
Rhea mockingly asks Daemon come consummate marriage brother finally expelled court disinheriting Daemon favor girl .,Who is Daemon?,Daemon was a PERSON who Rhea mockingly asks Daemon come consummate marriage brother finally expelled court disinheriting Daemon favor girl .
Rhea asks Daemon intends murder niece Rhaenyra reclaim former position realize Daemon returned Vale solely kill since widower would free marry could easily wed niece tradition House Targaryen reclaim former status .,Who is Rhea?,Rhea was a PERSON who Rhea asks Daemon intends murder niece Rhaenyra reclaim former position realize Daemon returned Vale solely kill since widower would free marry could easily wed niece tradition House Targaryen reclaim former status .
Rhea asks Daemon intends murder niece Rhaenyra reclaim former position realize Daemon returned Vale solely kill since widower would free marry could easily wed niece tradition House Targaryen reclaim former status .,Who is Daemon?,Daemon was a PERSON who Rhea asks Daemon intends murder niece Rhaenyra reclaim former position realize Daemon returned Vale solely kill since widower would free marry could easily wed niece tradition House Targaryen reclaim former status .
Rhea asks Daemon intends murder niece Rhaenyra reclaim former position realize Daemon returned Vale solely kill since widower would free marry could easily wed niece tradition House Targaryen reclaim former status .,Who is Rhaenyra?,Rhaenyra was a PERSON who Rhea asks Daemon intends murder niece Rhaenyra reclaim former position realize Daemon returned Vale solely kill since widower would free marry could easily wed niece tradition House Targaryen reclaim former status .
Rhea asks Daemon intends murder niece Rhaenyra reclaim former position realize Daemon returned Vale solely kill since widower would free marry could easily wed niece tradition House Targaryen reclaim former status .,What is Daemon?,Daemon is a ORG that Rhea asks Daemon intends murder niece Rhaenyra reclaim former position realize Daemon returned Vale solely kill since widower would free marry could easily wed niece tradition House Targaryen reclaim former status .
Rhea asks Daemon intends murder niece Rhaenyra reclaim former position realize Daemon returned Vale solely kill since widower would free marry could easily wed niece tradition House Targaryen reclaim former status .,Where is Vale?,Vale is a GPE that Rhea asks Daemon intends murder niece Rhaenyra reclaim former position realize Daemon returned Vale solely kill since widower would free marry could easily wed niece tradition House Targaryen reclaim former status .
Rhea asks Daemon intends murder niece Rhaenyra reclaim former position realize Daemon returned Vale solely kill since widower would free marry could easily wed niece tradition House Targaryen reclaim former status .,What is House?,House is a ORG that Rhea asks Daemon intends murder niece Rhaenyra reclaim former position realize Daemon returned Vale solely kill since widower would free marry could easily wed niece tradition House Targaryen reclaim former status .
Realizing peril Rhea tries grab bow Daemon spook horse throwing saddle .,Who is Rhea?,Rhea was a PERSON who Realizing peril Rhea tries grab bow Daemon spook horse throwing saddle .
Realizing peril Rhea tries grab bow Daemon spook horse throwing saddle .,Who is Daemon?,Daemon was a PERSON who Realizing peril Rhea tries grab bow Daemon spook horse throwing saddle .
Rhea badly hurt fall horse collapses top ; Daemon briefly checks Rhea making leave seemingly content injuries kill .,Who is Rhea?,Rhea was a PERSON who Rhea badly hurt fall horse collapses top ; Daemon briefly checks Rhea making leave seemingly content injuries kill .
Rhea badly hurt fall horse collapses top ; Daemon briefly checks Rhea making leave seemingly content injuries kill .,Who is Daemon?,Daemon was a PERSON who Rhea badly hurt fall horse collapses top ; Daemon briefly checks Rhea making leave seemingly content injuries kill .
Rhea badly hurt fall horse collapses top ; Daemon briefly checks Rhea making leave seemingly content injuries kill .,Who is Rhea?,Rhea was a PERSON who Rhea badly hurt fall horse collapses top ; Daemon briefly checks Rhea making leave seemingly content injuries kill .
Rhea taunts ca n't `` finish '' however Daemon picks large stone advances kill .,Who is Rhea?,Rhea was a PERSON who Rhea taunts ca n't `` finish '' however Daemon picks large stone advances kill .
Rhea taunts ca n't `` finish '' however Daemon picks large stone advances kill .,Who is Daemon?,Daemon was a PERSON who Rhea taunts ca n't `` finish '' however Daemon picks large stone advances kill .
King Viserys sails Driftmark island seat House Velaryon propose marriage daughter Princess Rhaenyra Ser Laenor Velaryon Lord Corlys Velaryon 's heir .,What is located at Driftmark island?,Driftmark island is a LOC where King Viserys sails Driftmark island seat House Velaryon propose marriage daughter Princess Rhaenyra Ser Laenor Velaryon Lord Corlys Velaryon 's heir .
King Viserys sails Driftmark island seat House Velaryon propose marriage daughter Princess Rhaenyra Ser Laenor Velaryon Lord Corlys Velaryon 's heir .,What is House Velaryon?,House Velaryon is a ORG that King Viserys sails Driftmark island seat House Velaryon propose marriage daughter Princess Rhaenyra Ser Laenor Velaryon Lord Corlys Velaryon 's heir .
King Viserys sails Driftmark island seat House Velaryon propose marriage daughter Princess Rhaenyra Ser Laenor Velaryon Lord Corlys Velaryon 's heir .,Who is Laenor Velaryon?,Laenor Velaryon was a PERSON who King Viserys sails Driftmark island seat House Velaryon propose marriage daughter Princess Rhaenyra Ser Laenor Velaryon Lord Corlys Velaryon 's heir .
King Viserys sails Driftmark island seat House Velaryon propose marriage daughter Princess Rhaenyra Ser Laenor Velaryon Lord Corlys Velaryon 's heir .,Who is Corlys Velaryon 's?,Corlys Velaryon 's was a PERSON who King Viserys sails Driftmark island seat House Velaryon propose marriage daughter Princess Rhaenyra Ser Laenor Velaryon Lord Corlys Velaryon 's heir .
