context,questions,answers
Viserys I grandson King Jaehaerys I Targaryen .,Who is Viserys?,Viserys was a PERSON who Viserys I grandson King Jaehaerys I Targaryen .
Viserys I grandson King Jaehaerys I Targaryen .,Who is King Jaehaerys?,King Jaehaerys was a PERSON who Viserys I grandson King Jaehaerys I Targaryen .
He immediately succeeded grandfather king Jaehaerys I ruled long children Prince Baelon Princess Alyssa ( Viserys 's parents ) predeceased .,Who is Jaehaerys?,Jaehaerys was a PERSON who He immediately succeeded grandfather king Jaehaerys I ruled long children
He immediately succeeded grandfather king Jaehaerys I ruled long children Prince Baelon Princess Alyssa ( Viserys 's parents ) predeceased .,Where is Viserys?,Viserys is a GPE that Prince Baelon Princess Alyssa ( Viserys 's parents ) predeceased .
Jaehaerys I grandson Aegon Conqueror invaded united Westeros forged Iron Throne.Viserys inherited realm unprecedented fifty years peace prosperity grandfather golden age Viserys strives disrupt .,Who is Aegon Conqueror?,Aegon Conqueror was a PERSON who Jaehaerys I grandson Aegon Conqueror invaded united Westeros forged Iron Throne.
Jaehaerys I grandson Aegon Conqueror invaded united Westeros forged Iron Throne.Viserys inherited realm unprecedented fifty years peace prosperity grandfather golden age Viserys strives disrupt .,Where is Westeros?,Westeros is a GPE that Jaehaerys I grandson Aegon Conqueror invaded united Westeros forged Iron Throne.
Jaehaerys I grandson Aegon Conqueror invaded united Westeros forged Iron Throne.Viserys inherited realm unprecedented fifty years peace prosperity grandfather golden age Viserys strives disrupt .,What is Iron Throne?,Iron Throne is a ORG that Jaehaerys I grandson Aegon Conqueror invaded united Westeros forged Iron Throne.
Jaehaerys I grandson Aegon Conqueror invaded united Westeros forged Iron Throne.Viserys inherited realm unprecedented fifty years peace prosperity grandfather golden age Viserys strives disrupt .,Who is Viserys?,Viserys was a PERSON who Viserys inherited realm unprecedented fifty years peace prosperity grandfather golden age Viserys strives disrupt .
Jaehaerys I grandson Aegon Conqueror invaded united Westeros forged Iron Throne.Viserys inherited realm unprecedented fifty years peace prosperity grandfather golden age Viserys strives disrupt .,When did fifty years happen?,fifty years was a DATE that Viserys inherited realm unprecedented fifty years peace prosperity grandfather golden age Viserys strives disrupt .
Jaehaerys I grandson Aegon Conqueror invaded united Westeros forged Iron Throne.Viserys inherited realm unprecedented fifty years peace prosperity grandfather golden age Viserys strives disrupt .,Who is Viserys?,Viserys was a PERSON who Viserys inherited realm unprecedented fifty years peace prosperity grandfather golden age Viserys strives disrupt .
A full century Targaryen Conquest dynasty 's rule unchallenged - save still-independent Dorne though relations also calm stable decades.All stable within House Targaryen however Viserys 's first cousin Rhaenys contested grandfather 's succession .,When did A full century happen?,A full century was a DATE that A full century Targaryen Conquest dynasty 's rule unchallenged - save still-independent Dorne though relations also calm stable decades.
A full century Targaryen Conquest dynasty 's rule unchallenged - save still-independent Dorne though relations also calm stable decades.All stable within House Targaryen however Viserys 's first cousin Rhaenys contested grandfather 's succession .,Who is Dorne?,Dorne was a PERSON who A full century Targaryen Conquest dynasty 's rule unchallenged - save still-independent Dorne though relations also calm stable decades.
A full century Targaryen Conquest dynasty 's rule unchallenged - save still-independent Dorne though relations also calm stable decades.All stable within House Targaryen however Viserys 's first cousin Rhaenys contested grandfather 's succession .,When did decades happen?,decades was a DATE that A full century Targaryen Conquest dynasty 's rule unchallenged - save still-independent Dorne though relations also calm stable decades.
A full century Targaryen Conquest dynasty 's rule unchallenged - save still-independent Dorne though relations also calm stable decades.All stable within House Targaryen however Viserys 's first cousin Rhaenys contested grandfather 's succession .,What is House?,House is a ORG that All stable within House Targaryen however Viserys 's first cousin Rhaenys contested grandfather 's succession .
A full century Targaryen Conquest dynasty 's rule unchallenged - save still-independent Dorne though relations also calm stable decades.All stable within House Targaryen however Viserys 's first cousin Rhaenys contested grandfather 's succession .,Who is Viserys?,Viserys was a PERSON who All stable within House Targaryen however Viserys 's first cousin Rhaenys contested grandfather 's succession .
