context,questions,answers
Rhaenys granddaughter Jaehaerys I Targaryen daughter Aemon Targaryen Jocelyn Baratheon first cousin Viserys I Targaryen Daemon Targaryen .,Who is Jaehaerys?,Jaehaerys was a PERSON who Rhaenys granddaughter Jaehaerys
Rhaenys granddaughter Jaehaerys I Targaryen daughter Aemon Targaryen Jocelyn Baratheon first cousin Viserys I Targaryen Daemon Targaryen .,Who is Aemon Targaryen?,Aemon Targaryen was a PERSON who I Targaryen daughter Aemon Targaryen Jocelyn Baratheon first cousin Viserys I Targaryen Daemon Targaryen .
Rhaenys granddaughter Jaehaerys I Targaryen daughter Aemon Targaryen Jocelyn Baratheon first cousin Viserys I Targaryen Daemon Targaryen .,Who is Jocelyn Baratheon?,Jocelyn Baratheon was a PERSON who I Targaryen daughter Aemon Targaryen Jocelyn Baratheon first cousin Viserys I Targaryen Daemon Targaryen .
Rhaenys granddaughter Jaehaerys I Targaryen daughter Aemon Targaryen Jocelyn Baratheon first cousin Viserys I Targaryen Daemon Targaryen .,Who is Viserys?,Viserys was a PERSON who I Targaryen daughter Aemon Targaryen Jocelyn Baratheon first cousin Viserys I Targaryen Daemon Targaryen .
She named great-great-grandmother : Rhaenys Targaryen sister-wife Aegon Conqueror.Rhaenys married Corlys Velaryon admiral Targaryen fleets currently wealthiest living man Westeros grown rich trading expeditions personally made Further East Essos .,Who is Aegon Conqueror?,Aegon Conqueror was a PERSON who She named great-great-grandmother : Rhaenys Targaryen sister-wife Aegon Conqueror.
She named great-great-grandmother : Rhaenys Targaryen sister-wife Aegon Conqueror.Rhaenys married Corlys Velaryon admiral Targaryen fleets currently wealthiest living man Westeros grown rich trading expeditions personally made Further East Essos .,Who is Corlys Velaryon?,Corlys Velaryon was a PERSON who Rhaenys married Corlys Velaryon admiral Targaryen fleets currently wealthiest living man Westeros grown rich trading expeditions personally made Further East Essos .
She named great-great-grandmother : Rhaenys Targaryen sister-wife Aegon Conqueror.Rhaenys married Corlys Velaryon admiral Targaryen fleets currently wealthiest living man Westeros grown rich trading expeditions personally made Further East Essos .,Who is Targaryen?,Targaryen was a PERSON who Rhaenys married Corlys Velaryon admiral Targaryen fleets currently wealthiest living man Westeros grown rich trading expeditions personally made Further East Essos .
She named great-great-grandmother : Rhaenys Targaryen sister-wife Aegon Conqueror.Rhaenys married Corlys Velaryon admiral Targaryen fleets currently wealthiest living man Westeros grown rich trading expeditions personally made Further East Essos .,Who is Westeros?,Westeros was a PERSON who Rhaenys married Corlys Velaryon admiral Targaryen fleets currently wealthiest living man Westeros grown rich trading expeditions personally made Further East Essos .
She named great-great-grandmother : Rhaenys Targaryen sister-wife Aegon Conqueror.Rhaenys married Corlys Velaryon admiral Targaryen fleets currently wealthiest living man Westeros grown rich trading expeditions personally made Further East Essos .,What is located at East Essos?,East Essos is a LOC where Rhaenys married Corlys Velaryon admiral Targaryen fleets currently wealthiest living man Westeros grown rich trading expeditions personally made Further East Essos .
Rhaenys Corlys two children : daughter Laena Velaryon son Laenor Velaryon.Rhaenys 's father Aemon died grandfather King Jaehaerys Jaehaerys made decision name second son Rhaenys 's uncle Baelon Targaryen heir .,Who is Rhaenys Corlys?,Rhaenys Corlys was a PERSON who Rhaenys Corlys two children : daughter Laena Velaryon son Laenor Velaryon.
