context,questions,answers
* The coat-of-arms House Strong display fist within black escutcheon red/green/blue lines radiating .,What is House?,House is a ORG that The coat-of-arms House Strong display fist within black escutcheon red/green/blue lines radiating .
In books heraldry colored lines forks Trident River .,What is located at Trident River?,Trident River is a LOC where In books heraldry colored lines forks Trident River .
* Jason Tyland Lannister twins never explicitly described identical twins .,Who is Jason Tyland Lannister?,Jason Tyland Lannister was a PERSON who * Jason Tyland Lannister twins never explicitly described identical twins .
* The first teaser trailer shows Ser Harrold Westerling Kingsguard still alive events 120 AC Year Red Spring book passed away old age years .,What is Ser Harrold Westerling Kingsguard?,Ser Harrold Westerling Kingsguard is a ORG that * The first teaser trailer shows Ser Harrold Westerling Kingsguard still alive events 120 AC Year Red Spring book passed away old age years .
* The first teaser trailer shows Ser Harrold Westerling Kingsguard still alive events 120 AC Year Red Spring book passed away old age years .,When did old age years happen?,old age years was a DATE that * The first teaser trailer shows Ser Harrold Westerling Kingsguard still alive events 120 AC Year Red Spring book passed away old age years .
* Ser Vaemond Velaryon Corlys Velaryon 's nephew book younger brother .,Who is Vaemond Velaryon Corlys Velaryon 's?,Vaemond Velaryon Corlys Velaryon 's was a PERSON who * Ser Vaemond Velaryon Corlys Velaryon 's nephew book younger brother .
Vaemond half dozen younger Velaryon cousins involved subplot book 've apparently condensed one character `` Corlys 's younger brother Vaemond '' .,Who is Corlys?,Corlys was a PERSON who Vaemond half dozen younger Velaryon cousins involved subplot book 've apparently condensed one character `` Corlys 's younger brother Vaemond '' .
Vaemond half dozen younger Velaryon cousins involved subplot book 've apparently condensed one character `` Corlys 's younger brother Vaemond '' .,Who is Vaemond?,Vaemond was a PERSON who Vaemond half dozen younger Velaryon cousins involved subplot book 've apparently condensed one character `` Corlys 's younger brother Vaemond '' .
book Aegon II marries 13 years old would explicitly illegal TV series filmed United Kingdom depict someone younger 16 marrying .,When did 13 years old happen?,13 years old was a DATE that book Aegon II marries 13 years old would explicitly illegal TV series filmed United Kingdom depict someone younger 16 marrying .
book Aegon II marries 13 years old would explicitly illegal TV series filmed United Kingdom depict someone younger 16 marrying .,Where is United Kingdom?,United Kingdom is a GPE that book Aegon II marries 13 years old would explicitly illegal TV series filmed United Kingdom depict someone younger 16 marrying .
This issue actually came Game Thrones : books Lysa Tully said stout many pregnancies ( ended miscarriages stillbirths except one ) n't cast stout actress live-action role .,Who is Lysa Tully?,Lysa Tully was a PERSON who This issue actually came Game Thrones : books Lysa Tully said stout many pregnancies ( ended miscarriages stillbirths except one ) n't cast stout actress live-action role .
* Rhaenys Targaryen father Aemon 's purple eyes mother Jocelyn Baratheon 's black hair .,Who is Aemon?,Aemon was a PERSON who * Rhaenys Targaryen father Aemon 's purple eyes mother Jocelyn Baratheon 's black hair .
* Rhaenys Targaryen father Aemon 's purple eyes mother Jocelyn Baratheon 's black hair .,Who is Jocelyn Baratheon?,Jocelyn Baratheon was a PERSON who * Rhaenys Targaryen father Aemon 's purple eyes mother Jocelyn Baratheon 's black hair .
Prior publishing Fire & Blood hair simply stated silver non-canon .,What is Fire & Blood?,Fire & Blood is a ORG that Prior publishing Fire & Blood hair simply stated silver non-canon .
* Although Corlys Velaryon 's physical appearance never described Velaryons known black otherwise dark skin tone .,Who is Corlys Velaryon 's?,Corlys Velaryon 's was a PERSON who Although Corlys Velaryon 's physical appearance never described Velaryons known black otherwise dark skin tone .
* Although Corlys Velaryon 's physical appearance never described Velaryons known black otherwise dark skin tone .,Who is Velaryons?,Velaryons was a PERSON who Although Corlys Velaryon 's physical appearance never described Velaryons known black otherwise dark skin tone .
House Velaryon overall described A Feast Crows typical Valyrian features silver hair purple eyes pale skin .,What is House Velaryon?,House Velaryon is a ORG that House Velaryon overall described A Feast Crows typical Valyrian features silver hair purple eyes pale skin .
Aurane Waters bastard House Velaryon considered Cersei resemble Rhaegar Targaryen though grey-green eyes rather purple .,What is Aurane Waters?,Aurane Waters is a ORG that Aurane Waters bastard House Velaryon considered Cersei resemble Rhaegar Targaryen though grey-green eyes rather purple .
Aurane Waters bastard House Velaryon considered Cersei resemble Rhaegar Targaryen though grey-green eyes rather purple .,Who is House Velaryon?,House Velaryon was a PERSON who Aurane Waters bastard House Velaryon considered Cersei resemble Rhaegar Targaryen though grey-green eyes rather purple .
Aurane Waters bastard House Velaryon considered Cersei resemble Rhaegar Targaryen though grey-green eyes rather purple .,What is located at Rhaegar Targaryen?,Rhaegar Targaryen is a LOC where Aurane Waters bastard House Velaryon considered Cersei resemble Rhaegar Targaryen though grey-green eyes rather purple .
It somewhat implied lower-ranking Valyrian families n't strict blood purity Velaryons n't described one .,Who is Velaryons?,Velaryons was a PERSON who It somewhat implied lower-ranking Valyrian families n't strict blood purity Velaryons n't described one .
While said slave Lys slave populations racially mixed described partial Yi Tish ( East Asian ) descent .,What is Lys?,Lys is a ORG that While said slave Lys slave populations racially mixed described partial Yi Tish ( East Asian ) descent .
While said slave Lys slave populations racially mixed described partial Yi Tish ( East Asian ) descent .,Who is Yi Tish?,Yi Tish was a PERSON who While said slave Lys slave populations racially mixed described partial Yi Tish ( East Asian ) descent .
* Ser Criston Cole known Dornish descent - though House Cole stewards Blackhaven borderlands Dorne .,Who is Ser Criston Cole?,Ser Criston Cole was a PERSON who * Ser Criston Cole known Dornish descent - though House Cole stewards Blackhaven borderlands Dorne .
* Ser Criston Cole known Dornish descent - though House Cole stewards Blackhaven borderlands Dorne .,Who is Dornish?,Dornish was a PERSON who * Ser Criston Cole known Dornish descent - though House Cole stewards Blackhaven borderlands Dorne .
* Ser Criston Cole known Dornish descent - though House Cole stewards Blackhaven borderlands Dorne .,What is House?,House is a ORG that * Ser Criston Cole known Dornish descent - though House Cole stewards Blackhaven borderlands Dorne .
* Ser Criston Cole known Dornish descent - though House Cole stewards Blackhaven borderlands Dorne .,Who is Blackhaven?,Blackhaven was a PERSON who * Ser Criston Cole known Dornish descent - though House Cole stewards Blackhaven borderlands Dorne .
* Ser Criston Cole known Dornish descent - though House Cole stewards Blackhaven borderlands Dorne .,Where is Dorne?,Dorne is a GPE that * Ser Criston Cole known Dornish descent - though House Cole stewards Blackhaven borderlands Dorne .
He also described `` lowborn '' ( Coles minor nobles serve hereditary stewards still considered nobles ) .,What is Coles?,Coles is a ORG that He also described `` lowborn '' ( Coles minor nobles serve hereditary stewards still considered nobles ) .
* For life old age included Jaehaerys I Targaryen kept beard long reached waist .,Who is Jaehaerys?,Jaehaerys was a PERSON who * For life old age included Jaehaerys I Targaryen kept beard
* King Jaehaerys present Great Council growing weak body mind old age .,Where is King Jaehaerys?,King Jaehaerys is a GPE that * King Jaehaerys present Great Council growing weak body mind old age .
* King Jaehaerys present Great Council growing weak body mind old age .,What is Great Council?,Great Council is a ORG that * King Jaehaerys present Great Council growing weak body mind old age .
* The two popular contenders Great Council Viserys Targaryen Laenor Velaryon Viserys Rhaenys Targaryen .,What is Great Council?,Great Council is a ORG that The two popular contenders Great Council Viserys Targaryen Laenor Velaryon Viserys Rhaenys Targaryen .
* The two popular contenders Great Council Viserys Targaryen Laenor Velaryon Viserys Rhaenys Targaryen .,Who is Viserys Targaryen Laenor Velaryon Viserys Rhaenys Targaryen?,Viserys Targaryen Laenor Velaryon Viserys Rhaenys Targaryen was a PERSON who The two popular contenders Great Council Viserys Targaryen Laenor Velaryon Viserys Rhaenys Targaryen .
* Ser Harrold Westerling sworn shield Rhaenyra Targaryen .,Who is Harrold Westerling?,Harrold Westerling was a PERSON who * Ser Harrold Westerling sworn shield Rhaenyra Targaryen .
He may given larger role TV series replacing Criston Cole parts story .,Who is Criston Cole?,Criston Cole was a PERSON who He may given larger role TV series replacing Criston Cole parts story .
* There mention characters named Mickon Marlow Randyll Barret Fire & Blood .,Who is Mickon Marlow Randyll Barret Fire & Blood?,Mickon Marlow Randyll Barret Fire & Blood was a PERSON who * There mention characters named Mickon Marlow Randyll Barret Fire & Blood .
* The Heir 's Tournament King 's Landing based different tourney Fire & Blood taking place Maidenpool .,What is Fire & Blood?,Fire & Blood is a ORG that The Heir 's Tournament King 's Landing based different tourney Fire & Blood taking place Maidenpool .
