context,questions,answers
In year 101 AC lords Westeros gather Great Council elect Prince Dragonstone succeed Jaehaerys I Targaryen following deaths king 's sons .,When did year happen?,year was a DATE that In year 101 AC lords Westeros gather Great Council elect Prince Dragonstone succeed Jaehaerys I Targaryen following deaths king 's sons .
In year 101 AC lords Westeros gather Great Council elect Prince Dragonstone succeed Jaehaerys I Targaryen following deaths king 's sons .,What is Westeros gather Great Council?,Westeros gather Great Council is a ORG that In year 101 AC lords Westeros gather Great Council elect Prince Dragonstone succeed Jaehaerys I Targaryen following deaths king 's sons .
Although fourteen claims brought forward two truly considered ; Princess Rhaenys Targaryen Jaehaerys 's eldest grandchild Prince Viserys Targaryen eldest grandson .,When did fourteen happen?,fourteen was a DATE that Although fourteen claims brought forward two truly considered ; Princess Rhaenys Targaryen Jaehaerys 's eldest grandchild Prince Viserys Targaryen eldest grandson .
Although fourteen claims brought forward two truly considered ; Princess Rhaenys Targaryen Jaehaerys 's eldest grandchild Prince Viserys Targaryen eldest grandson .,Who is Viserys Targaryen?,Viserys Targaryen was a PERSON who Although fourteen claims brought forward two truly considered ; Princess Rhaenys Targaryen Jaehaerys 's eldest grandchild Prince Viserys Targaryen eldest grandson .
The Great Council elects Prince Viserys succeed grandfather .,What is The Great Council?,The Great Council is a ORG that The Great Council elects Prince Viserys succeed grandfather .
The Great Council elects Prince Viserys succeed grandfather .,Where is Prince Viserys?,Prince Viserys is a GPE that The Great Council elects Prince Viserys succeed grandfather .
It year 112 AC nine years Viserys 's reign .,When did nine years happen?,nine years was a DATE that It year 112 AC nine years Viserys 's reign .
It year 112 AC nine years Viserys 's reign .,Who is Viserys?,Viserys was a PERSON who It year 112 AC nine years Viserys 's reign .
High King 's Landing daughter Princess Rhaenyra Targaryen flies across city atop dragon Syrax landing outside gates Dragonpit .,Who is High King 's?,High King 's was a PERSON who High King 's Landing daughter Princess Rhaenyra Targaryen flies across city atop dragon Syrax landing outside gates Dragonpit .
High King 's Landing daughter Princess Rhaenyra Targaryen flies across city atop dragon Syrax landing outside gates Dragonpit .,What is Syrax?,Syrax is a ORG that High King 's Landing daughter Princess Rhaenyra Targaryen flies across city atop dragon Syrax landing outside gates Dragonpit .
As Dragonkeepers escort Syrax away Rhaenyra greeted sworn shield Ser Harrold Westerling Kingsguard friend Lady Alicent Hightower .,What is Dragonkeepers?,Dragonkeepers is a ORG that As Dragonkeepers escort Syrax away Rhaenyra greeted sworn shield Ser Harrold Westerling Kingsguard friend Lady Alicent Hightower .
As Dragonkeepers escort Syrax away Rhaenyra greeted sworn shield Ser Harrold Westerling Kingsguard friend Lady Alicent Hightower .,What is Syrax?,Syrax is a ORG that As Dragonkeepers escort Syrax away Rhaenyra greeted sworn shield Ser Harrold Westerling Kingsguard friend Lady Alicent Hightower .
As Dragonkeepers escort Syrax away Rhaenyra greeted sworn shield Ser Harrold Westerling Kingsguard friend Lady Alicent Hightower .,What is Ser Harrold?,Ser Harrold is a ORG that As Dragonkeepers escort Syrax away Rhaenyra greeted sworn shield Ser Harrold Westerling Kingsguard friend Lady Alicent Hightower .
As Dragonkeepers escort Syrax away Rhaenyra greeted sworn shield Ser Harrold Westerling Kingsguard friend Lady Alicent Hightower .,Who is Westerling Kingsguard?,Westerling Kingsguard was a PERSON who As Dragonkeepers escort Syrax away Rhaenyra greeted sworn shield Ser Harrold Westerling Kingsguard friend Lady Alicent Hightower .
As Dragonkeepers escort Syrax away Rhaenyra greeted sworn shield Ser Harrold Westerling Kingsguard friend Lady Alicent Hightower .,Who is Lady Alicent Hightower?,Lady Alicent Hightower was a PERSON who As Dragonkeepers escort Syrax away Rhaenyra greeted sworn shield Ser Harrold Westerling Kingsguard friend Lady Alicent Hightower .
The two girls exchange comments Syrax 's growth Rhaenyra invites Alicent take ride Syrax though Alicent politely declines .,What is Syrax?,Syrax is a ORG that The two girls exchange comments Syrax 's growth Rhaenyra invites Alicent take ride Syrax though Alicent politely declines .
The two girls exchange comments Syrax 's growth Rhaenyra invites Alicent take ride Syrax though Alicent politely declines .,Who is Alicent?,Alicent was a PERSON who The two girls exchange comments Syrax 's growth Rhaenyra invites Alicent take ride Syrax though Alicent politely declines .
The two girls exchange comments Syrax 's growth Rhaenyra invites Alicent take ride Syrax though Alicent politely declines .,What is Syrax?,Syrax is a ORG that The two girls exchange comments Syrax 's growth Rhaenyra invites Alicent take ride Syrax though Alicent politely declines .
The two girls exchange comments Syrax 's growth Rhaenyra invites Alicent take ride Syrax though Alicent politely declines .,Who is Alicent?,Alicent was a PERSON who The two girls exchange comments Syrax 's growth Rhaenyra invites Alicent take ride Syrax though Alicent politely declines .
Ser Harrold several men-at-arms escort Rhaenyra Alicent covered wagon back Red Keep .,Who is Ser Harrold?,Ser Harrold was a PERSON who Ser Harrold several men-at-arms escort Rhaenyra Alicent covered wagon back Red Keep .
Ser Harrold several men-at-arms escort Rhaenyra Alicent covered wagon back Red Keep .,Who is Rhaenyra Alicent?,Rhaenyra Alicent was a PERSON who Ser Harrold several men-at-arms escort Rhaenyra Alicent covered wagon back Red Keep .
Ser Harrold several men-at-arms escort Rhaenyra Alicent covered wagon back Red Keep .,What is Red Keep?,Red Keep is a ORG that Ser Harrold several men-at-arms escort Rhaenyra Alicent covered wagon back Red Keep .
Rhaenyra pays visit Alicent attendance heavily pregnant mother Queen Aemma Arryn .,What is Rhaenyra?,Rhaenyra is a ORG that Rhaenyra pays visit Alicent attendance heavily pregnant mother Queen Aemma Arryn .
Rhaenyra pays visit Alicent attendance heavily pregnant mother Queen Aemma Arryn .,Who is Alicent?,Alicent was a PERSON who Rhaenyra pays visit Alicent attendance heavily pregnant mother Queen Aemma Arryn .
Rhaenyra pays visit Alicent attendance heavily pregnant mother Queen Aemma Arryn .,Who is Aemma Arryn?,Aemma Arryn was a PERSON who Rhaenyra pays visit Alicent attendance heavily pregnant mother Queen Aemma Arryn .
Rhaenyra dismissive idea mother Aemma insists royal women birthing royal children serve realm.Within Red Keep Viserys hosts meeting Small Council Rhaenyra attendance cupbearer ( though father lightly chides late meeting ) .,Who is Aemma?,Aemma was a PERSON who Rhaenyra dismissive idea mother Aemma insists royal women birthing royal children serve realm.
Rhaenyra dismissive idea mother Aemma insists royal women birthing royal children serve realm.Within Red Keep Viserys hosts meeting Small Council Rhaenyra attendance cupbearer ( though father lightly chides late meeting ) .,What is Red Keep?,Red Keep is a ORG that Within Red Keep Viserys hosts meeting Small Council Rhaenyra attendance cupbearer ( though father lightly chides late meeting ) .
Rhaenyra dismissive idea mother Aemma insists royal women birthing royal children serve realm.Within Red Keep Viserys hosts meeting Small Council Rhaenyra attendance cupbearer ( though father lightly chides late meeting ) .,What is Small Council?,Small Council is a ORG that Within Red Keep Viserys hosts meeting Small Council Rhaenyra attendance cupbearer ( though father lightly chides late meeting ) .
His Master Ships Lord Corlys Velaryon warns Free Cities formed alliance named `` Triarchy '' trying claim Stepstones .,Who is Corlys Velaryon?,Corlys Velaryon was a PERSON who His Master Ships Lord Corlys Velaryon warns Free Cities formed alliance named `` Triarchy '' trying claim Stepstones .
His Master Ships Lord Corlys Velaryon warns Free Cities formed alliance named `` Triarchy '' trying claim Stepstones .,What is `` Triarchy ''?,`` Triarchy '' is a ORG that His Master Ships Lord Corlys Velaryon warns Free Cities formed alliance named `` Triarchy '' trying claim Stepstones .
His Master Ships Lord Corlys Velaryon warns Free Cities formed alliance named `` Triarchy '' trying claim Stepstones .,What is Stepstones?,Stepstones is a ORG that His Master Ships Lord Corlys Velaryon warns Free Cities formed alliance named `` Triarchy '' trying claim Stepstones .
Should alliance eradicate pirates currently inhabiting Stepstones Corlys warns Westerosi ports could badly affected concerns dismissed Viserys Hand King Ser Otto Hightower .,Who is Stepstones Corlys?,Stepstones Corlys was a PERSON who Should alliance eradicate pirates currently inhabiting Stepstones Corlys warns Westerosi ports could badly affected concerns dismissed Viserys Hand King Ser Otto Hightower .
Should alliance eradicate pirates currently inhabiting Stepstones Corlys warns Westerosi ports could badly affected concerns dismissed Viserys Hand King Ser Otto Hightower .,What is Viserys Hand?,Viserys Hand is a ORG that Should alliance eradicate pirates currently inhabiting Stepstones Corlys warns Westerosi ports could badly affected concerns dismissed Viserys Hand King Ser Otto Hightower .
Should alliance eradicate pirates currently inhabiting Stepstones Corlys warns Westerosi ports could badly affected concerns dismissed Viserys Hand King Ser Otto Hightower .,Who is Ser Otto Hightower?,Ser Otto Hightower was a PERSON who Should alliance eradicate pirates currently inhabiting Stepstones Corlys warns Westerosi ports could badly affected concerns dismissed Viserys Hand King Ser Otto Hightower .
The Master Coin Lord Lyman Beesbury also complains Viserys ruinous amounts gold younger brother Prince Daemon Targaryen absent seat table spent new role commander City Watch properly arm supply men Viserys hear complaints brother .,Who is Lyman Beesbury?,Lyman Beesbury was a PERSON who The Master Coin Lord Lyman Beesbury also complains Viserys ruinous amounts gold younger brother Prince Daemon Targaryen absent seat table spent new role commander City Watch properly arm supply men Viserys hear complaints brother .
The Master Coin Lord Lyman Beesbury also complains Viserys ruinous amounts gold younger brother Prince Daemon Targaryen absent seat table spent new role commander City Watch properly arm supply men Viserys hear complaints brother .,Who is Viserys?,Viserys was a PERSON who The Master Coin Lord Lyman Beesbury also complains Viserys ruinous amounts gold younger brother Prince Daemon Targaryen absent seat table spent new role commander City Watch properly arm supply men Viserys hear complaints brother .
The Master Coin Lord Lyman Beesbury also complains Viserys ruinous amounts gold younger brother Prince Daemon Targaryen absent seat table spent new role commander City Watch properly arm supply men Viserys hear complaints brother .,Who is Prince Daemon Targaryen?,Prince Daemon Targaryen was a PERSON who The Master Coin Lord Lyman Beesbury also complains Viserys ruinous amounts gold younger brother Prince Daemon Targaryen absent seat table spent new role commander City Watch properly arm supply men Viserys hear complaints brother .
The Master Coin Lord Lyman Beesbury also complains Viserys ruinous amounts gold younger brother Prince Daemon Targaryen absent seat table spent new role commander City Watch properly arm supply men Viserys hear complaints brother .,What is City Watch?,City Watch is a ORG that The Master Coin Lord Lyman Beesbury also complains Viserys ruinous amounts gold younger brother Prince Daemon Targaryen absent seat table spent new role commander City Watch properly arm supply men Viserys hear complaints brother .
The Master Coin Lord Lyman Beesbury also complains Viserys ruinous amounts gold younger brother Prince Daemon Targaryen absent seat table spent new role commander City Watch properly arm supply men Viserys hear complaints brother .,Who is Viserys?,Viserys was a PERSON who The Master Coin Lord Lyman Beesbury also complains Viserys ruinous amounts gold younger brother Prince Daemon Targaryen absent seat table spent new role commander City Watch properly arm supply men Viserys hear complaints brother .
The discussion turns upcoming `` Heir 's Tournament '' Viserys planned upcoming birth next child .,Who is Viserys?,Viserys was a PERSON who The discussion turns upcoming `` Heir 's Tournament '' Viserys planned upcoming birth next child .
Despite Grand Maester Mellos 's insistence way determining sex Viserys confident child boy.After Small Council concludes Rhaenyra Ser Harrold head Great Hall find Prince Daemon sitting Iron Throne .,What is Grand Maester?,Grand Maester is a ORG that Despite Grand Maester Mellos 's insistence way determining sex Viserys confident child boy.
Despite Grand Maester Mellos 's insistence way determining sex Viserys confident child boy.After Small Council concludes Rhaenyra Ser Harrold head Great Hall find Prince Daemon sitting Iron Throne .,Who is Mellos?,Mellos was a PERSON who Despite Grand Maester Mellos 's insistence way determining sex Viserys confident child boy.
Despite Grand Maester Mellos 's insistence way determining sex Viserys confident child boy.After Small Council concludes Rhaenyra Ser Harrold head Great Hall find Prince Daemon sitting Iron Throne .,Where is Viserys?,Viserys is a GPE that Despite Grand Maester Mellos 's insistence way determining sex Viserys confident child boy.
Despite Grand Maester Mellos 's insistence way determining sex Viserys confident child boy.After Small Council concludes Rhaenyra Ser Harrold head Great Hall find Prince Daemon sitting Iron Throne .,What is Small Council?,Small Council is a ORG that After Small Council concludes Rhaenyra Ser Harrold head Great Hall find Prince Daemon sitting Iron Throne .
Despite Grand Maester Mellos 's insistence way determining sex Viserys confident child boy.After Small Council concludes Rhaenyra Ser Harrold head Great Hall find Prince Daemon sitting Iron Throne .,What is the Great Hall?,The Great Hall is a FAC that After Small Council concludes Rhaenyra Ser Harrold head Great Hall find Prince Daemon sitting Iron Throne .
Despite Grand Maester Mellos 's insistence way determining sex Viserys confident child boy.After Small Council concludes Rhaenyra Ser Harrold head Great Hall find Prince Daemon sitting Iron Throne .,What is Iron Throne?,Iron Throne is a ORG that After Small Council concludes Rhaenyra Ser Harrold head Great Hall find Prince Daemon sitting Iron Throne .
Ser Harrold shocked disrespect Rhaenyra used uncle 's flippancy amused .,Who is Harrold?,Harrold was a PERSON who Ser Harrold shocked disrespect Rhaenyra used uncle 's flippancy amused .
Rhaenyra Daemon converse High Valyrian Daemon amused words Viserys throwing tournament benefit since Viserys actually son Daemon heir law gifting niece bejeweled necklace Valyrian steel .,Who is Viserys?,Viserys was a PERSON who Rhaenyra Daemon converse High Valyrian Daemon amused words Viserys throwing tournament benefit since Viserys actually son Daemon heir law gifting niece bejeweled necklace Valyrian steel .
Rhaenyra Daemon converse High Valyrian Daemon amused words Viserys throwing tournament benefit since Viserys actually son Daemon heir law gifting niece bejeweled necklace Valyrian steel .,Where is Viserys?,Viserys is a GPE that Rhaenyra Daemon converse High Valyrian Daemon amused words Viserys throwing tournament benefit since Viserys actually son Daemon heir law gifting niece bejeweled necklace Valyrian steel .
Rhaenyra Daemon converse High Valyrian Daemon amused words Viserys throwing tournament benefit since Viserys actually son Daemon heir law gifting niece bejeweled necklace Valyrian steel .,Who is Daemon?,Daemon was a PERSON who Rhaenyra Daemon converse High Valyrian Daemon amused words Viserys throwing tournament benefit since Viserys actually son Daemon heir law gifting niece bejeweled necklace Valyrian steel .
Later evening Rhaenyra Alicent spend time Red Keep 's godswood Rhaenyra concludes hopes unborn sibling boy sake father 's happiness ignoring Alicent 's remarks son would overshadow line succession .,Who is Rhaenyra Alicent?,Rhaenyra Alicent was a PERSON who Later evening Rhaenyra Alicent spend time Red Keep 's godswood Rhaenyra concludes hopes unborn sibling boy sake father 's happiness ignoring Alicent 's remarks son would overshadow line succession .
